"date","zip_code","psps_abs","psps_hybrid"
2019-10-09,94583,1,1
2019-10-09,94585,1,1
2019-10-09,94586,1,1
2019-10-09,94587,1,1
2019-10-09,94589,1,1
2019-10-09,94595,1,1
2019-10-09,94596,1,1
2019-10-09,94597,1,1
2019-10-09,94598,1,1
2019-10-09,94599,1,1
2019-10-09,94601,1,1
2019-10-09,94602,1,1
2019-10-09,94603,1,1
2019-10-09,94605,1,1
2019-10-09,94610,1,1
2019-10-09,94611,1,1
2019-10-09,94620,1,1
2019-10-09,94618,1,1
2019-10-09,94619,1,1
2019-10-09,94614,1,1
2019-10-09,94621,1,1
2019-10-09,94705,1,1
2019-10-09,94707,1,1
2019-10-09,94708,1,1
2019-10-09,94720,1,1
2019-10-09,94803,1,1
2019-10-09,94820,1,1
2019-10-09,94904,1,1
2019-10-09,94914,1,1
2019-10-09,94924,1,1
2019-10-09,94926,1,1
2019-10-09,94927,1,1
2019-10-09,94928,1,1
2019-10-09,94930,1,1
2019-10-09,94978,1,1
2019-10-09,94931,1,1
2019-10-09,94941,1,1
2019-10-09,94942,1,1
2019-10-09,94950,1,1
2019-10-09,94951,1,1
2019-10-09,94954,1,1
2019-10-09,94999,1,1
2019-10-09,94963,1,1
2019-10-09,94965,1,1
2019-10-09,94966,1,1
2019-10-09,94970,1,1
2019-10-09,95001,1,1
2019-10-09,95003,1,1
2019-10-09,95004,1,1
2019-10-09,95005,1,1
2019-10-09,95006,1,1
2019-10-09,95007,1,1
2019-10-09,95010,1,1
2019-10-09,95014,1,1
2019-10-09,95015,1,1
2019-10-09,95017,1,1
2019-10-09,95018,1,1
2019-10-09,95019,1,1
2019-10-09,95020,1,1
2019-10-09,95021,1,1
2019-10-09,95030,1,1
2019-10-09,95026,1,1
2019-10-09,95031,1,1
2019-10-09,95033,1,1
2019-10-09,95044,1,1
2019-10-09,95035,1,1
2019-10-09,95036,1,1
2019-10-09,95037,1,1
2019-10-09,95038,1,1
2019-10-09,95041,1,1
2019-10-09,95060,1,1
2019-10-09,95061,1,1
2019-10-09,95062,1,1
2019-10-09,95063,1,1
2019-10-09,95064,1,1
2019-10-09,95065,1,1
2019-10-09,95066,1,1
2019-10-09,95067,1,1
2019-10-09,95070,1,1
2019-10-09,95071,1,1
2019-10-09,95073,1,1
2019-10-09,95076,1,1
2019-10-09,95077,1,1
2019-10-09,95116,1,1
2019-10-09,95156,1,1
2019-10-09,95118,1,1
2019-10-09,95158,1,1
2019-10-09,95042,1,1
2019-10-09,95120,1,1
2019-10-09,95160,1,1
2019-10-09,95121,1,1
2019-10-09,95122,1,1
2019-10-09,95151,1,1
2019-10-09,95123,1,1
2019-10-09,95153,1,1
2019-10-09,95193,1,1
2019-10-09,95127,1,1
2019-10-09,95132,1,1
2019-10-09,95152,1,1
2019-10-09,95133,1,1
2019-10-09,95135,1,1
2019-10-09,95138,1,1
2019-10-09,95140,1,1
2019-10-09,95148,1,1
2019-10-09,95221,1,1
2019-10-09,95222,1,1
2019-10-09,95223,1,1
2019-10-09,95224,1,1
2019-10-09,95228,1,1
2019-10-09,95230,1,1
2019-10-09,95232,1,1
2019-10-09,95233,1,1
2019-10-09,95245,1,1
2019-10-09,95246,1,1
2019-10-09,95229,1,1
2019-10-09,95247,1,1
2019-10-09,95248,1,1
2019-10-09,95249,1,1
2019-10-09,95250,1,1
2019-10-09,95251,1,1
2019-10-09,95252,1,1
2019-10-09,95255,1,1
2019-10-09,95257,1,1
2019-10-09,95305,1,1
2019-10-09,95347,1,1
2019-10-09,95310,1,1
2019-10-09,95311,1,1
2019-10-09,95321,1,1
2019-10-09,95309,1,1
2019-10-09,95327,1,1
2019-10-09,95329,1,1
2019-10-09,95335,1,1
2019-10-09,95338,1,1
2019-10-09,95358,1,1
2019-10-09,95360,1,1
2019-10-09,95363,1,1
2019-10-09,95364,1,1
2019-10-09,95369,1,1
2019-10-09,95370,1,1
2019-10-09,95373,1,1
2019-10-09,95372,1,1
2019-10-09,95375,1,1
2019-10-09,95379,1,1
2019-10-09,95383,1,1
2019-10-09,95385,1,1
2019-10-09,95387,1,1
2019-10-09,95401,1,1
2019-10-09,95403,1,1
2019-10-09,95402,1,1
2019-10-09,95404,1,1
2019-10-09,95406,1,1
2019-10-09,95405,1,1
2019-10-09,95407,1,1
2019-10-09,95409,1,1
2019-10-09,95412,1,1
2019-10-09,95480,1,1
2019-10-09,95415,1,1
2019-10-09,95421,1,1
2019-10-09,95422,1,1
2019-10-09,95424,1,1
2019-10-09,95423,1,1
2019-10-09,95425,1,1
2019-10-09,95426,1,1
2019-10-09,95431,1,1
2019-10-09,95435,1,1
2019-10-09,95439,1,1
2019-10-09,95441,1,1
2019-10-09,95442,1,1
2019-10-09,95443,1,1
2019-10-09,95446,1,1
2019-10-09,95448,1,1
2019-10-09,95449,1,1
2019-10-09,95451,1,1
2019-10-09,95452,1,1
2019-10-09,95453,1,1
2019-10-09,95454,1,1
2019-10-09,95457,1,1
2019-10-09,95458,1,1
2019-10-09,95461,1,1
2019-10-09,95464,1,1
2019-10-09,95466,1,1
2019-10-09,95467,1,1
2019-10-09,95469,1,1
2019-10-09,95470,1,1
2019-10-09,95416,1,1
2019-10-09,95433,1,1
2019-10-09,95476,1,1
2019-10-09,95487,1,1
2019-10-09,95418,1,1
2019-10-09,95481,1,1
2019-10-09,95482,1,1
2019-10-09,95485,1,1
2019-10-09,95488,1,1
2019-10-09,95490,1,1
2019-10-09,95492,1,1
2019-10-09,95493,1,1
2019-10-09,95494,1,1
2019-10-09,95501,1,1
2019-10-09,95502,1,1
2019-10-09,95534,1,1
2019-10-09,95503,1,1
2019-10-09,95511,1,1
2019-10-09,95514,1,1
2019-10-09,95519,1,1
2019-10-09,95518,1,1
2019-10-09,95521,1,1
2019-10-09,95524,1,1
2019-10-09,95525,1,1
2019-10-09,95526,1,1
2019-10-09,95527,1,1
2019-10-09,95528,1,1
2019-10-09,95536,1,1
2019-10-09,95537,1,1
2019-10-09,95540,1,1
2019-10-09,95542,1,1
2019-10-09,95545,1,1
2019-10-09,95546,1,1
2019-10-09,95547,1,1
2019-10-09,95549,1,1
2019-10-09,95550,1,1
2019-10-09,95551,1,1
2019-10-09,95552,1,1
2019-10-09,95553,1,1
2019-10-09,95554,1,1
2019-10-09,95555,1,1
2019-10-09,95556,1,1
2019-10-09,95558,1,1
2019-10-09,95559,1,1
2019-10-09,95560,1,1
2019-10-09,95562,1,1
2019-10-09,95563,1,1
2019-10-09,95564,1,1
2019-10-09,95565,1,1
2019-10-09,95568,1,1
2019-10-09,95569,1,1
2019-10-09,95570,1,1
2019-10-09,95571,1,1
2019-10-09,95573,1,1
2019-10-09,95585,1,1
2019-10-09,95587,1,1
2019-10-09,95589,1,1
2019-10-09,95595,1,1
2019-10-09,95601,1,1
2019-10-09,95602,1,1
2019-10-09,95603,1,1
2019-10-09,95606,1,1
2019-10-09,95607,1,1
2019-10-09,95614,1,1
